BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2.0,1400.0,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan
Brokered by Serhant,Condo for sale,195000000,7,10.0,17545.0,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County
Brokered by Sowae Corp,House for sale,260000,4,2.0,2015.0,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",,New York,Richmond County
Brokered by COMPASS,Condo for sale,69000,3,1.0,445.0,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",,New York,New York County
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,"New York, NY 10065","5 E 64th StNew York, NY 10065",,New York,New York County
Brokered by Sowae Corp,House for sale,690000,5,2.0,4004.0,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County
,Condo for sale,899500,2,2.0,2184.207862,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",,New York County,New York
Brokered by Connie Profaci Realty,House for sale,16800000,8,16.0,33000.0,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",,New York,Richmond County
,Co-op for sale,265000,1,1.0,750.0,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",,The Bronx,East Bronx
,Co-op for sale,440000,2,1.0,978.0,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn
,Co-op for sale,375000,2,1.0,850.0,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",,Bronx County,The Bronx
,Townhouse for sale,689000,3,2.3738608579684373,1162.0,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County
Brokered by COMPASS,Co-op for sale,259000,3,1.0,2184.207862,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",,Queens County,Queens
,Co-op for sale,430000,2,2.0,2184.207862,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",,Queens County,Queens
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1.0,2184.207862,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",,New York County,New York
,Condo for sale,549000,2,2.0,1000.0,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",,Richmond County,Staten Island
,Townhouse for sale,975000,3,2.0,1734.0,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",,New York,Queens County
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1.0,325.0,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",,Kings County,Brooklyn
,Co-op for sale,350000,1,1.0,700.0,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2.0,974.0,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",,Queens County,Queens
Brokered by Radiant Estates LLC,House for sale,639999,3,2.0,1260.0,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",,New York,Richmond County
,Condo for sale,1300000,2,2.0,1244.0,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens
,Multi-family home for sale,1100000,6,3.0,2837.0,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",,New York,Bronx County
Brokered by Martino Realty Group,Condo for sale,349900,1,1.0,651.0,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",,Richmond County,Staten Island
Brokered by Elizabeth Marra,House for sale,750000,2,2.0,1330.0,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County
,Multi-family home for sale,1690000,6,4.0,2200.0,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",United States,New York,Queens County
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",,Queens County,Queens
Brokered by Century 21 Realty First,Multi-family home for sale,2250000,12,2.3738608579684373,5670.0,"Brooklyn, NY 11214","2361 81st StBrooklyn, NY 11214",,NaN,New York
Brokered by Du Chris Realty,Co-op for sale,230000,1,1.0,2184.207862,"Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",United States,New York,Queens County
,Multi-family home for sale,1299888,10,6.0,3156.0,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",,Richmond County,Staten Island
,Multi-family home for sale,925000,5,2.0,2750.0,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",,New York,Bronx County
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2.0,794.0,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",,New York,Richmond County
Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8.0,5040.0,"Staten Island, NY 10303","366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4.0,2080.0,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",,New York,Kings County
,Co-op for sale,279000,1,1.0,750.0,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",,Kings County,Brooklyn
