car_id,name,fueltype,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,enginesize,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,front,88.6,168.8,64.1,48.8,2548,dohc,130,2.68,9.0,111,5000,21,27,13495.0
2,alfa-romero stelvio,gas,front,88.6,168.8,64.1,48.8,2548,dohc,130,2.68,9.0,111,5000,21,27,16500.0
3,alfa-romero Quadrifoglio,gas,front,94.5,171.2,65.5,52.4,2823,ohcv,152,3.47,9.0,154,5000,19,26,16500.0
4,audi 100 ls,gas,front,99.8,176.6,66.2,54.3,2337,ohc,109,3.4,10.0,102,5500,24,30,13950.0
5,audi 100ls,gas,front,99.4,176.6,66.4,54.3,2824,ohc,136,3.4,8.0,115,5500,18,22,17450.0
6,audi fox,gas,front,99.8,177.3,66.3,53.1,2507,ohc,136,3.4,8.5,110,5500,19,25,15250.0
7,audi 100ls,gas,front,105.8,192.7,71.4,55.7,2844,ohc,136,3.4,8.5,110,5500,19,25,17710.0
8,audi 5000,gas,front,105.8,192.7,71.4,55.7,2954,ohc,136,3.4,8.5,110,5500,19,25,18920.0
9,audi 4000,gas,front,105.8,192.7,71.4,55.9,3086,ohc,131,3.4,8.3,140,5500,17,20,23875.0
10,audi 5000s (diesel),gas,front,99.5,178.2,67.9,52.0,3053,ohc,131,3.4,7.0,160,5500,16,22,17859.167
11,bmw 320i,gas,front,101.2,176.8,64.8,54.3,2395,ohc,108,2.8,8.8,101,5800,23,29,16430.0
12,bmw 320i,gas,front,101.2,176.8,64.8,54.3,2395,ohc,108,2.8,8.8,101,5800,23,29,16925.0
13,bmw x1,gas,front,101.2,176.8,64.8,54.3,2710,ohc,164,3.19,9.0,121,4250,21,28,20970.0
14,bmw x3,gas,front,101.2,176.8,64.8,54.3,2765,ohc,164,3.19,9.0,121,4250,21,28,21105.0
15,bmw z4,gas,front,103.5,189.0,66.9,55.7,3055,ohc,164,3.19,9.0,121,4250,20,25,24565.0
16,bmw x4,gas,front,103.5,189.0,66.9,55.7,3230,ohc,209,3.39,8.0,182,5400,16,22,30760.0
17,bmw x5,gas,front,103.5,193.8,67.9,53.7,3380,ohc,209,3.39,8.0,182,5400,16,22,41315.0
18,bmw x3,gas,front,110.0,197.0,70.9,56.3,3505,ohc,209,3.39,8.0,182,5400,15,20,36880.0
19,chevrolet impala,gas,front,88.4,141.1,60.3,53.2,1488,l,61,3.03,9.5,48,5100,47,53,5151.0
20,chevrolet monte carlo,gas,front,94.5,155.9,63.6,52.0,1874,ohc,90,3.11,9.6,70,5400,38,43,6295.0
