artist,song,acousticness,speechiness,danceability
Britney Spears,Oops!...I Did It Again,0.3,0.0437,0.751
blink-182,All The Small Things,0.0103,0.0488,0.434
Faith Hill,Breathe,0.173,0.029,0.529
Bon Jovi,It's My Life,0.0263,0.0466,0.551
*NSYNC,Bye Bye Bye,0.0408,0.0516,0.614
Sisqo,Thong Song,0.119,0.0654,0.706
Eminem,The Real Slim Shady,0.0302,0.0572,0.949
Robbie Williams,Rock DJ,0.0267,0.0322,0.708
Destiny's Child,Say My Name,0.273,0.102,0.713
Modjo,Lady - Hear Me Tonight,0.00793,0.0379,0.72
Gigi D'Agostino,L'Amour Toujours,0.0328,0.0292,0.617
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,0.0813,0.0287,0.745
Bomfunk MC's,Freestyler,0.0291,0.0989,0.822
Sting,Desert Rose,0.011,0.0304,0.586
Melanie C,Never Be The Same Again,0.0921,0.0478,0.689
Aaliyah,Try Again,0.0807,0.29,0.797
Anastacia,I'm Outta Love - Radio Edit,0.396,0.056,0.761
Alice Deejay,Better Off Alone,0.00181,0.0552,0.671
Gigi D'Agostino,The Riddle,0.0173,0.0369,0.74
Dr. Dre,The Next Episode,0.0281,0.27,0.922
Linkin Park,In the End,0.00958,0.0584,0.556
Tom Jones,Sexbomb,0.144,0.0446,0.801
Sonique,It Feels So Good,0.0117,0.0304,0.634
M.O.P.,Cold as Ice,0.0421,0.143,0.656
Melanie C,I Turn To You,0.00117,0.0327,0.522
Limp Bizkit,Take A Look Around,0.0175,0.046,0.425
Darude,Sandstorm,0.141,0.0465,0.528
Da Brat,What'chu Like (feat. Tyrese),0.017,0.24,0.879
Moloko,The Time Is Now,0.35,0.165,0.682
Chicane,Don't Give Up,0.00145,0.0419,0.644
DMX,Party Up,0.0738,0.347,0.51
Debelah Morgan,Dance with Me,0.309,0.0373,0.85
Madonna,Music,0.00149,0.0663,0.736
Ruff Endz,No More,0.0324,0.0858,0.839
Britney Spears,Born to Make You Happy,0.116,0.0454,0.633
Montell Jordan,Get It On Tonite,0.241,0.077,0.813
Kylie Minogue,Spinning Around,0.292,0.0548,0.761
JAY-Z,Big Pimpin',0.168,0.14,0.88
LeAnn Rimes,I Need You,0.02,0.0367,0.478
Avant,Separated,0.247,0.0276,0.798
Enrique Iglesias,Be With You,0.0395,0.0329,0.683
Toni Braxton,He Wasn't Man Enough,0.00916,0.0411,0.739
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,0.434,0.168,0.852
Dr. Dre,Forgot About Dre,0.0827,0.0774,0.924
Missy Elliott,Hot Boyz,0.339,0.291,0.727
Backstreet Boys,Show Me the Meaning of Being Lonely,0.231,0.0252,0.63
Samantha Mumba,Gotta Tell You,0.191,0.0279,0.729
Mýa,Case Of The Ex (Whatcha Gonna Do),0.0548,0.0405,0.772
Mary Mary,Shackles (Praise You),0.0343,0.162,0.779
Next,Wifey,0.067,0.108,0.829
Janet Jackson,Doesn't Really Matter,0.0993,0.076,0.771
Ricky Martin,She Bangs - English Version,0.000915,0.0806,0.63
Jagged Edge,He Can't Love U,0.112,0.206,0.721
Sisqo,Incomplete,0.282,0.0771,0.746
JAY-Z,I Just Wanna Love U (Give It 2 Me),0.301,0.24,0.8
Mariah Carey,Thank God I Found You (feat. Joe & 98°),0.592,0.0331,0.348
Baha Men,Who Let The Dogs Out,0.0605,0.0993,0.869
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.0402,0.0844,0.854
LeAnn Rimes,Can't Fight The Moonlight,0.403,0.0497,0.628
Oasis,Go Let It Out,0.0136,0.0333,0.408
DJ Ötzi,Hey Baby (Radio Mix),0.123,0.046,0.666
P!nk,Most Girls,0.0424,0.0311,0.742
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),0.584,0.0315,0.471
Craig David,Fill Me In,0.376,0.0365,0.682
Christina Aguilera,I Turn to You,0.38,0.0376,0.599
Madonna,American Pie,0.348,0.036,0.631
Red Hot Chili Peppers,Otherside,0.00316,0.0574,0.458
Sammie,I Like It,0.0101,0.0617,0.826
Craig David,7 Days,0.23,0.0487,0.659
Santana,Maria Maria (feat. The Product G&B),0.0406,0.126,0.777
Kandi,Don't Think I'm Not,0.0661,0.0445,0.859
P!nk,There You Go,0.0854,0.0917,0.822
Vengaboys,Shalala Lala,0.0504,0.0328,0.751
Ronan Keating,Life Is A Rollercoaster,0.1,0.0302,0.655
Madison Avenue,Don't Call Me Baby,0.0585,0.0311,0.808
Destiny's Child,"Jumpin', Jumpin'",0.00543,0.0567,0.771
Céline Dion,That's the Way It Is,0.154,0.0434,0.634
3 Doors Down,Kryptonite,0.00664,0.0286,0.545
Carl Thomas,I Wish,0.0593,0.0337,0.736
Mystikal,Shake Ya Ass,0.0626,0.32,0.914
Fuel,Hemorrhage (In My Hands),0.000127,0.0404,0.313
Donell Jones,Where I Wanna Be,0.52,0.0298,0.664
Savage Garden,Crash and Burn,0.189,0.028,0.581
Westlife,My Love,0.098,0.0255,0.491
All Saints,Pure Shores,0.0498,0.0242,0.631
Destiny's Child,"Independent Women, Pt. 1",0.362,0.206,0.73
*NSYNC,It's Gonna Be Me,0.0459,0.0801,0.644
Erykah Badu,Bag Lady,0.365,0.0841,0.724
Marc Anthony,You Sang To Me,0.0103,0.0296,0.578
Matchbox Twenty,Bent,0.0404,0.0386,0.518
Gabrielle,Rise,0.315,0.026,0.558
Backstreet Boys,Shape of My Heart,0.252,0.0296,0.575
Creed,With Arms Wide Open,0.00425,0.0302,0.41
The Corrs,Breathless,0.0541,0.0597,0.607
Joe,I Wanna Know,0.26,0.0368,0.725
Wheatus,Teenage Dirtbag,0.346,0.0495,0.625
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,0.226,0.106,0.829
Creed,Higher,5.15e-05,0.0364,0.459
Britney Spears,Lucky,0.262,0.0317,0.765
Nelly,Country Grammar (Hot Shit),0.00689,0.108,0.865
Shaggy,It Wasn't Me,0.0561,0.0713,0.853
Destiny's Child,Survivor,0.0559,0.41,0.514
Eminem,Stan,0.0371,0.238,0.78
Kylie Minogue,Can't Get You out of My Head,0.0263,0.0339,0.766
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",0.0144,0.0534,0.76
Nelly Furtado,I'm Like A Bird,0.138,0.036,0.622
Shakira,"Whenever, Wherever",0.237,0.0407,0.794
Jimmy Eat World,The Middle,0.0371,0.0526,0.643
Train,Drops of Jupiter (Tell Me),0.153,0.0276,0.481
Geri Halliwell,It's Raining Men,0.063,0.0447,0.637
Blu Cantrell,Hit 'Em Up Style (Oops!),0.201,0.0586,0.667
Britney Spears,I'm a Slave 4 U,0.415,0.106,0.847
